name,description,path,,,Genetically related features,Deposit environment,Deposit group,Deposit type,Synonym(s),Example(s),Reference(s)
Placer,,,,,,,,,,,
Residual placer tin,,Placer/,,,"Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralizatio",Erosional,Placer,Residual placer tin,Lag tin,AUS: Renison Bell; BRA: Pitinga,"Morland, 1990; Alves and others, 2018"
Residual placer lead,,Placer/,,,"Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization",Erosional,Placer,Residual placer lead,Lag lead,"MEX: Santa Eulalia; U.S.: Upper Mississippi Valley Pb, Wis. and Ill.","Megaw, 2009"
Fluvial placer gold,,Placer/,,,"Exhumation, topographic relief, drainage network, preexisting mineralization",Erosional,Placer,Fluvial placer gold,Alluvial gold,"AUS: Victorian goldfields, VIC; CAN: Atlin, BC; Carriboo, BC; Klondike, YT; U.S.: American River Au, Calif.","Yeend, 1986"
Fluvial placer PGE,,Placer/,,,"Exhumation, topographic relief, drainage network, preexisting mineralization",Erosional,Placer,Fluvial placer PGE,Alluvial PGE,"U.S.: Goodnews Bay PGE-Au, Alaska","Yeend and Page, 1986"
Fluvial placer tin,,Placer/,,,"Exhumation, topographic relief, drainage network, preexisting mineralization",Erosional,Placer,Fluvial placer tin,Alluvial tin,"AUS: Pilbara, WA; North Queensland, QLD; U.S.: Seward Peninsula Sn, Alaska","Reed, 1986a"
Fluvial placer niobium-tantalum,,Placer/,,,"Exhumation, topographic relief, drainage network, preexisting mineralization",Erosional,Placer,Fluvial placer niobium-tantalum,Alluvial niobium-tantalum,NGR: Jos Plateau,"Pastor and Turaki, 1985"
Fluvial placer tungsten,,Placer/,,,"Exhumation, topographic relief, drainage network, preexisting mineralization",Erosional,Placer,Fluvial placer tungsten,Alluvial tungsten,"CAN: Boulder Creek, BC; U.S.: Alder Creek, Alaska","Bundtzen, 1986"
Fluvial placer REE,,Placer/,,,"Exhumation, topographic relief, drainage network, specific rock types",Erosional,Placer,Fluvial placer REE,Alluvial REE,"AUS: Charleys Creek, NT; U.S.: Idaho, Carolina Piedmont","Sengupta and Van Gosen, 2016"
Fluvial placer diamond,,Placer/,,,"Exhumation, topographic relief, drainage network, kimberlite pipe",Erosional,Placer,Fluvial placer diamond,Alluvial diamond,"AUS: Upper Smoke Creek (from Argyle diamond pipe), WA; Namibia: Orange River","Cox, 1986b"
Fluvial placer gemstones,,Placer/,,,"Exhumation, topographic relief, drainage network, specific rock type",Erosional,Placer,Fluvial placer gemstones,Alluvial gemstones,"AUS: Anakie, QLD; Glen Innes, NSW; US: Yogo, Mont.","Clabaugh, 1952"
Fluvial placer garnet,,Placer/,,,"Exhumation, topographic relief, drainage network, specific rock type",Erosional,Placer,Fluvial placer garnet,Alluvial garnet,"AUS: Harts Range garnet, NT; U.S.: Emerald Creek, Idaho","Evans and Moyle, 2006"
Heavy mineral sands,,Placer/,,,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types",Erosional,Placer,Heavy mineral sands,Mineral sands,"AUS: Keysbrook, WA; WIM150, VIC; Jacinth, SA; U.S.: Boise REE-Th-TiNb-Ta, Idaho","Levson, 1995; Van Gosen and others, 2014"
Shoreline placer gold,,Placer/,,,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, preexisting mineralization",Erosional,Placer,Shoreline placer gold,Beach placer gold,"CAN: Graham Island, BC; Queen Charlotte Islands, BC; County Harbour, NS; U.S.: Nome Au, Alaska","Bundtzen and others, 1994"
Paleoplacer heavy mineral sands,,Placer/,,,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types",Erosional,Placer,Paleoplacer heavy mineral sands,Lithified mineral sands; Indurated mineral sands,"CAN: Elliot Lake-Blind River, ON; U.S.: Sanostee Mesa Ti, N. Mex.","Van Gosen and others, 2014"
Paleoplacer tin,,Placer/,,,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types",Erosional,Placer,Paleoplacer tin,,"AUS: Kikoira-Gibearvale, NSW","Campbell and others, 2003; Burton and Downes, 2005"
Paleoplacer gold ± uranium,,Placer/,,,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, preexisting mineralization",Erosional,Placer,Paleoplacer gold ± uranium,Quartz pebble conglomerate Au-U,"CAN: Elliot Lake-Blind River, ON; Mulvehill, BC.; U.S.: Cambrian Deadwood Fm., S. Dak.; ZAF: Witwatersrand","Cox, 1986e; Roscoe, 1995; Taylor and Anderson, 2018"
Laterite,,,,,,,,,,,
Bauxite,,Laterite/,,,"Stable area with low relief, tropical climate, Al-bearing rock types, unsaturated zone, water table",Supergene,Laterite,Bauxite,Lateritic bauxite,"AUS: Weipa, QLD; BRA: Pocos de Caldas district; CAN: Florence, BC; U.S: Arkansas bauxite","Gordon and others, 1958; Bárdossy and Aleva, 1990"
Karst bauxite,,Laterite/,,,"Stable area with low relief, tropical climate, Al-bearing rock types above carbonate rocks, unsaturated zone, water table",Supergene,Laterite,Karst bauxite,Carbonate bauxite,EU: Mediterranean bauxite belt; CHN: Yunnan deposits,"Bárdossy, 1982; Hou and others, 2017"
Laterite nickel,,Laterite/,,,"Stable area with low relief, tropical climate, ultramafic rocks, unsaturated zone, water table",Supergene,Laterite,Laterite nickel,Nickel-cobalt laterite: Lateritic nickel,"AUS: Murrin Ni laterite, WA; U.S.: Puerto Rico Ni laterite","Berger and others, 2011; Marsh and others, 2013"
Carbonatite laterite REE,,Laterite/,,,"Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table",Supergene,Laterite,Carbonatite laterite REE,,"AUS: Mt. Weld, WA","Cocker, 2014; Verplanck and others, 2016"
Laterite magnesite,,Laterite/,,,"Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table",Supergene,Laterite,Laterite magnesite,,"AUS: Thuddungra, NSW","Diemar, 1998"
Clay,,,,,,,,,,,
Residual clay,,Clay/,,,"Variable climate, unsaturated zone, Albearing rock types, water table",Supergene,Clay,Residual clay,Secondary clay,"AUS: Pittong, VIC; Scottsdale, TAS; CAN: Lang Bay, BC; Sumas Mountain, BC; Buse Lake, BC; Saint Remi, QC; U.S.: Secondary clay Minn.","Hosterman, 1998"
"Underclay, overclay",,Clay/,,,"Variable climate, unsaturated zone, Alor REE-bearing shales adjacent to coal seams, water table",Supergene,Clay,"Underclay, overclay",Gob,"CAN: Quinsam Mine, BC; CHN: Chongqing, Daqinshan, Lincang, Yishan; MNG: Jungar; U.S.: Coal underclay Ill.- Ky.-W. Va.","Seredin and Finkelman, 2008; Zhao and others, 2019; Yang and others, 2020"
Ion adsorption REE,,Clay/,,,"Variable climate, unsaturated zone, Alor REE-bearing granitic, peralkaline, or carbonatite rocks, water table",Supergene,Clay,Ion adsorption REE,,"CAN: Grande-Vallée, QC; CHN: Jiangxi, Guangdong, Fujiang, Guangxi; U.S.: Piedmont ion adsorption REE","Foley and Ayuso, 2015; Sanematsu and Watanabe, 2016"
Supergene,,,,,,,,,,,
Supergene silver,,Supergene/,,,"Variable climate, unsaturated zone, preexisting Ag-rich mineralization, water table",Supergene,Supergene,Supergene silver,,"AUS: Wonawinta, NSW; CAN: Murray Brook, NB; MEX: Sierra Mojada","Skirka, 2005; Sillitoe, 2009; Ahn, 2010"
Supergene lead,,Supergene/,,,"Variable climate, unsaturated zone, preexisting Pb-rich mineralization, water table",Supergene,Supergene,Supergene lead,,"AUS: Magellan, WA","McQuitty and Pascoe, 1998; Pirajno and others, 2010"
Supergene uranium,,Supergene/,,,"Variable climate, unsaturated zone, preexisting U-rich mineralization, water table",Supergene,Supergene,Supergene uranium,,"AUS: Angela, NT","Lally and Bajwah, 2006; Bolonin and Gradovsky, 2012; Edgoose, 2013"
Supergene vanadium,,Supergene/,,,"Variable climate, unsaturated zone, preexisting V-rich mineralization, water table",Supergene,Supergene,Supergene vanadium,,NAM: Otavi Mountainland,"Schwellnus, 1945; Verwoerd, 1957; Boni and others, 2007"
Supergene gold,,Supergene/,,,"Variable climate, unsaturated zone, preexisting Au-rich mineralization, water table",Supergene,Supergene,Supergene gold,Regolith gold,"CAN: Murray Brook, NB","Rennick and Burton, 1992"
Supergene zinc,,Supergene/,,,"Variable climate, unsaturated zone, preexisting Zn-rich mineralization, water table",Supergene,Supergene,Supergene zinc,"Non-sulfide Zn, oxidized Zn (Pb)","AUS: Magellan, WA; CAN: Redbird, Lomond, Reeves MacDonald, Caviar, HB, Oxide, Cariboo Zinc, Flipper Creek, Dolomite Flats, Main, Gunn and Que, BC; U.S.: Leadville, Colo.; Balmat, N.Y.","Boni and Mondillo 2015; Paradis and others, 2015"
Supergene copper,,Supergene/,,,"Variable climate, unsaturated zone, preexisting Cu-rich mineralization, water table",Supergene,Supergene,Supergene copper,,"CAN: Afton, BC; Windy Craggy, BC; U.S.: Santa Rita (Chino) Cu, N. Mex.; Morenci, Ariz.","Titley and Marozas, 1995"
Supergene manganese,,Supergene/,,,"Variable climate, unsaturated zone, preexisting Mn-rich mineralization, water table",Supergene,Supergene,Supergene manganese,,"AUS: Woodie Woodie, WA","Jones, 2017"
Supergene iron,,Supergene/,,,"Variable climate, unsaturated zone, preexisting Fe-rich mineralization, water table",Supergene,Supergene,Supergene iron,,"AUS: Hamersley iron province, WA; CAN: Labrador Trough, NL and QC; U.S.: Lake Superior, Minn.- Mich.- Wis.","Leith, 1931"
Exotic copper,,Exotic/,,,"Infiltration of surface water, aquifers, preexisting Cu mineralization, redox interface",Infiltrational,Exotic,Exotic copper,Paleochannel copper,MEX: El Pilar,"Münchmeyer, 1998"
Paleochannel iron,,Paleochannel/,,,"Infiltration of surface water, fluvial paleochannels, preexisting Fe, Mn mineralization, redox interface",Infiltrational,Paleochannel,Paleochannel iron,"Ferricretes, manganocretes","AUS: Hamersley iron province, WA; U.S.: New World, Mont.","Ramanaidou and others, 2003"
Uranium,,,,,,,,,,,
Sandstone uranium,,Uranium/,,,"Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface",Infiltrational,Uranium,Sandstone uranium,"Roll front, and others","AUS: Angela, NT; U.S.: Colorado Plateau, Utah-Colo.","Lally and Bajwah, 2006; Edgoose, 2013; Breit, 2016; IAEA, 2020"
Carbonate uranium,,Uranium/,,,"Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface",Infiltrational,Uranium,Carbonate uranium,,"U.S.: Grants, N. Mex.","IAEA, 2020"
Coal/peat/bog uranium,,Uranium/,,,"Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface",Infiltrational,Uranium,Coal/peat/bog uranium,,"U.S.: Williston Basin, Mont.-N. Dak.- S. Dak.","IAEA, 2020"
Calcrete uranium,,Uranium/,,,"Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, lacustrine evaporite",Infiltrational,Uranium,Calcrete uranium,"Surficial uranium, evaporite uranium","AUS: Yeelirrie, WA; U.S.: Southern High Plains, N. Mex., Okla., Tex.","Hall and others, 2019; IAEA, 2020"
Nodular magnesite,,Magnesite/,,,Infiltration of CO2-bearing surface water into fractured ultramafic rocks,Infiltrational,Magnesite,Nodular magnesite,Cryptocrystalline magnesite,"AUS: Kunwarara, QLD; CAN: Mount Brussilof, BC; U.S.: Red Mtn., Calif.","Page, 1998b; Simandl and Hancock, 1999"
Evaporite,,,,,,,,,,,
Marine evaporite gypsum,,Evaporite/,,,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomite",Basin evaporative,Evaporite,Marine evaporite gypsum,,"CAN: Windsor, NS; Elkhorn, BC; U.S.: Oklahoma","Raup, 1991a; Warren, 2010"
Marine evaporite salt,,Evaporite/,,,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomite",Basin evaporative,Evaporite,Marine evaporite salt,,"CAN: Goderich, ON; GrosseÎle, QC; U.S.: Gulf Coast, Tex.","Raup, 1991b; Warren, 2010"
Marine evaporite potash,,Evaporite/,,,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomite",Basin evaporative,Evaporite,Marine evaporite potash,,"CAN: Elk Point Basin, SK; U.S.: Carlsbad, N. Mex.","Williams-Stroud, 1991; Warren, 2010"
Marine evaporite magnesite,,Evaporite/,,,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomite",Basin evaporative,Evaporite,Marine evaporite magnesite,Sedimentary magnesite,"AUS: Witchelina and Mount Hutton, SA","Horn and others, 2017"
Lacustrine evaporite trona,,Evaporite/,,,"Closed lacustrine drainage basin, arid climate, salt flats",Basin evaporative,Evaporite,Lacustrine evaporite trona,,"U.S.: Green River, Wyo.","Dyni, 1991; Warren, 2010"
Lacustrine evaporite salt,,Evaporite/,,,"Closed lacustrine drainage basin, arid climate, salt flats",Basin evaporative,Evaporite,Lacustrine evaporite salt,,"U.S.: Bonneville, Utah","Orris, 1992; Warren, 2010"
Lacustrine evaporite potash,,Evaporite/,,,"Closed lacustrine drainage basin, arid climate, salt flats",Basin evaporative,Evaporite,Lacustrine evaporite potash,,EU: Rhine graben,"Warren, 2010"
Lacustrine evaporite carnallite-bischofite,,Evaporite/,,,"Closed lacustrine drainage basin, arid climate, salt flats",Basin evaporative,Evaporite,Lacustrine evaporite carnallite-bischofite,,"CAN: Wynyard, SK; EU: Rhine graben","Warren, 2010"
Lacustrine evaporite borate,,Evaporite/,,,"Closed lacustrine drainage basin, arid climate, salt flats",Basin evaporative,Evaporite,Lacustrine evaporite borate,,"U.S.: Rio Tinto (U.S. Borax), Calif.","Orris, 1995; Warren, 2010"
Lacustrine evaporite magnesite,,Evaporite/,,,"Closed lacustrine drainage basin, arid climate, salt flats",Basin evaporative,Evaporite,Lacustrine evaporite magnesite,Sedimentary magnesite,"U.S.: Needles, Calif.","Vitaliano, 1950"
Lacustrine evaporite nitrate,,Evaporite/,,,"Closed lacustrine drainage basin, arid climate, sea spray, salt flats",Basin evaporative,Evaporite,Lacustrine evaporite nitrate,,So. Am.: Central Andes,"Williams-Stroud, 1991; Warren, 2010"
Brine,,,,,,,,,,,
"Marine brine potash (±Mg, Li, and so on)",,Brine/,,,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Basin evaporative,Brine,"Marine brine potash (±Mg, Li, and so on)",,"U.S.: Kane Creek potash, Utah; Michigan Basin potash, Mich.","Warren, 2010"
Lacustrine brine potash,,Brine/,,,"Closed lacustrine drainage basin, arid climate, salt flats",Basin evaporative,Brine,Lacustrine brine potash,,"AUS: Lake Wells, WA; U.S.: Searles Lake, Calif.","Orris, 2011"
Lacustrine brine lithium,,Brine/,,,"Closed lacustrine drainage basin, arid climate, salt flats",Basin evaporative,Brine,Lacustrine brine lithium,,"CAN: Swan Hill, AB; CHL: Atacama; U.S.: Clayton Valley, Nev.","Bradley and others, 2013; Munk and others, 2016"
"Lacustrine zeolite (± Li, B)",,Zeolite/,,,"Closed lacustrine drainage basin, arid climate, salt flats, volcanic rocks",Basin evaporative,Zeolite,"Lacustrine zeolite (± Li, B)",,"U.S.: Rhyolite Ridge, Nev.","Sheppard, 1991; Ioneer, 2020"
Lacustrine clay lithium,,Clay/,,,"Closed lacustrine drainage basin, arid climate, salt flats, ash and clay layers",Basin evaporative,Clay,Lacustrine clay lithium,,"U.S.: McDermitt, Nev.","Asher-Bolinder, 1991; Castor and Henry, 2020"
Black shale,,,,,,,,,,,
Black shale vanadium ± Mo ± Ni,,Black shale/,,,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Basin chemical,Black shale,Black shale vanadium ± Mo ± Ni,"Metalliferous black shale, stone coal, carbonaceous marl","AUS: Julia Creek, QLD; CAN: Tar Sands, AB; U.S.: Gibellini V, Nev.; Phosphoria Fm. V, Mont.-Idaho-Wyo.","Granitto and others, 2017"
Black shale nickel ± Mo-PGE,,Black shale/,,,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Basin chemical,Black shale,Black shale nickel ± Mo-PGE,Metalliferous black shale,"CAN: Nick Ni-Mo-PGE, YT","Hulbert and others, 1992; Lefebure and Coveney, 1995; Gadd and others, 2020"
Black shale gold,,Black shale/,,,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Basin chemical,Black shale,Black shale gold,,"U.S.: Upper Rodeo Au, Nev.","Emsbo, 2000"
Black shale uranium,,Black shale/,,,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Basin chemical,Black shale,Black shale uranium,,"U.S.: Chattanooga U, Tenn.","IAEA, 2020"
Phosphorite,,Phosphorite/,,,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Basin chemical,Phosphorite,Phosphorite,Phosphate,"AUS: Ammaroo, NT; D-Tree, QLD; Phosphate Hill/ Duchess, QLD; CAN: Athabasca Basin, SK; U.S.: Phosphoria Fm., Mont.-Idaho-Wyo.","Emsbo and others, 2016a"
Iron formation,,,,,,,,,,,
Superior-type banded iron formation,,Iron formation/,,,"Atmospheric oxidation, oceanic oxidation event, seawater",Basin chemical,Iron formation,Superior-type banded iron formation,Lake Superior,"AUS: Hamersley iron province, WA; CAN: Labrador Trough, NL and QC; U.S.: Mesabi, Minn.","Cannon, 1986b"
Oolitic iron formation,,Iron formation/,,,"Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater",Basin chemical,Iron formation,Oolitic iron formation,"Ironstone, Clinton-type, Minette-type","AUS: Train Range, QLD; CAN: Clear Hills, AB, Bell Island, NL; U.S.: Clinton, N.Y.","Maynard and Van Houten, 1992"
Lacustrine iron formation,,Iron formation/,,,"Regional-scale and intense Fe-Na-(Ca±K) metasomatism and magnetic/gravity anoma- lies, caldera lakes",Basin chemical,Iron formation,Lacustrine iron formation,,"U.S.: Upper Pilot Knob, Mo.","Nold and others, 2014"
Manganese,,,,,,,,,,,
Superior-type banded manganese,,Manganese/,,,"Atmospheric oxidation, oceanic oxidation event, seawater",Basin chemical,Manganese,Superior-type banded manganese,Mamatwan-type; gondite,"CAN: Woodstock, NB; ZAF: Kalahari","Cairncross and Beukes, 2013"
Sedimentary manganese,,Manganese/,,,"Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater",Basin chemical,Manganese,Sedimentary manganese,"Shelf sequence manganese, Nikopol-type manganese","AUS: Groote Eylandt and Bootu Creek, NT; UKR: Chiatura, Nikopol-Tokmak; U.S.: Cuyuna Range, Minn.; Aroostock County, Maine","Force and others, 1999; Cannon and others, 2017; Harvey and others, 2017"
Crust manganese,,Manganese/,,,"Marine chemoclines, ocean currents, atolls and plateaus, seawater",Basin chemical,Manganese,Crust manganese,Ferromanganese crusts,U.S. EEZ: Blake Plateau,"Bau and others, 2014; Mizell and Hein, 2016"
Nodule manganese,,Manganese/,,,"Marine chemoclines, ocean currents, abyssal plains, seawater",Basin chemical,Manganese,Nodule manganese,Ferromanganese nodules,"U.S. EEZ: near Johnson Island, Hawaii","Hein and Koschinsky, 2014"
Lacustrine manganese,,Manganese/,,,"Closed lacustrine drainage basin, redox interface",Basin chemical,Manganese,Lacustrine manganese,,"U.S.: Artillery Mountains Mn, Ariz.","Long and others, 1992"
Unconformity-related,,,,,,,,,,,
Unconformity-related uranium,,Unconformity-related/,,,"Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism",Basin hydrothermal,Unconformity-related,Unconformity-related uranium,,"AUS: Jabiluka, NT; Ranger, NT; Coronation Hill, NT; CAN: McArthur River, SK; Cigar Lake, SK; Rabbit lake, SK; Key Lake, SK","Skirrow and others, 2009"
Unconformity-related REE,,Unconformity-related/,,,"Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism",Basin hydrothermal,Unconformity-related,Unconformity-related REE,,"AUS: Browns Range, WA; CAN: Maw zone, SK","Nazari-Dehkordi and others, 2018"
Collapse breccia pipe uranium,,Collapse breccia pipe/,,,"Collapse breccia, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism",Basin hydrothermal,Collapse breccia pipe,Collapse breccia pipe uranium,,"U.S.: Grand Canyon, Ariz.","Alpine, 2010; Van Gosen and oth"
Volcanic-hosted copper,,Volcanic-hosted/,,,"Continental rift basin, initial phase, volcanics, conglomerates, and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism",Basin hydrothermal,Volcanic-hosted,Volcanic-hosted copper,Volcanic-red bed copper; basaltic copper,"CAN: Sustut, BC and Copper River, YT; U.S.: Calumet-Hecla and Kearsarge Mich.","Cox, 1986a; Lefebure and Church, 1996"
Sediment-hosted,,,,,,,,,,,
Sediment-hosted copper ± Co,,Sediment-hosted/,,,"Continental rift basin, initial phase, volcanics, conglomerates and siliciclastics, arid climate, evaporites, basin brine, growth faults, salt tectonics, alkali and magnesium metasomatism",Basin hydrothermal,Sediment-hosted,Sediment-hosted copper ± Co,"Sediment-hosted Cu-Ag-Co, shale-hosted Cu, Kupferschiefer-type, redbed Cu","AUS: Nifty, WA; CAN: Redstone, NT; COD: copper belt; DEU: Kupferschiefer district U.S.: White Pine, Mich.; Rock Creek and Montanore, Mont.","Hayes and others, 2015"
